name,aliases,category,subcategory,edible_pct,energy_kcal,protein_g,fat_g,carb_g,potassium_mg,phosphorus_mg,sodium_mg,calcium_mg,unit_name,unit_grams,unit_desc,note
大麦,元麦,大麦,,100.0,327.0,10.2,1.4,73.3,49.0,381.0,0.0,66.0,100g,100,每100克可食部,
黑大麦,,大麦,,100.0,327.0,10.2,2.2,74.3,241.0,390.0,0.0,20.0,100g,100,每100克可食部,
肚里黄,,大麦,,100.0,337.0,8.8,1.2,76.7,223.0,436.0,0.0,3.0,100g,100,每100克可食部,
青稞,,大麦,,100.0,342.0,8.1,1.5,75.0,644.0,405.0,0.0,113.0,100g,100,每100克可食部,
小米,,小米、黄米,,100.0,361.0,9.0,3.1,75.1,284.0,229.0,0.0,41.0,100g,100,每100克可食部,
小米面,,小米、黄米,,100.0,357.0,7.2,2.1,77.7,129.0,159.0,0.0,40.0,100g,100,每100克可食部,
小米粥,,小米、黄米,,100.0,46.0,1.4,0.7,8.4,19.0,32.0,0.0,10.0,100g,100,每100克可食部,
小米（黄）,,小米、黄米,,100.0,364.0,8.9,3.0,77.7,335.0,158.0,0.0,8.0,100g,100,每100克可食部,
大黄米,黍子,小米、黄米,,100.0,356.0,13.6,2.7,71.1,201.0,244.0,0.0,30.0,100g,100,每100克可食部,
黄米,,小米、黄米,,100.0,351.0,9.7,1.5,76.9,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
高粱米,,谷类其他,,100.0,360.0,10.4,3.1,74.7,281.0,329.0,0.0,22.0,100g,100,每100克可食部,
糜子（带皮）,,谷类其他,,100.0,336.0,10.6,0.6,75.1,148.0,205.0,0.0,99.0,100g,100,每100克可食部,
糜子米（炒米）,,谷类其他,,100.0,376.0,8.1,2.6,80.5,252.0,233.0,0.0,12.0,100g,100,每100克可食部,
苦荞麦粉,,谷类其他,,100.0,316.0,9.7,2.7,66.0,320.0,244.0,0.0,39.0,100g,100,每100克可食部,
荞麦,,谷类其他,,100.0,337.0,9.3,2.3,73.0,401.0,297.0,0.0,47.0,100g,100,每100克可食部,
荞麦（带皮）,,谷类其他,,98.0,319.0,9.5,1.7,73.0,439.0,296.0,0.0,154.0,100g,100,每100克可食部,
薏米,薏仁米;苡米,谷类其他,,100.0,361.0,12.8,3.3,71.1,238.0,217.0,0.0,42.0,100g,100,每100克可食部,
薏米面,,谷类其他,,100.0,351.0,11.3,2.4,73.5,163.0,134.0,0.0,42.0,100g,100,每100克可食部,
荞麦面,,谷类其他,,100.0,340.0,11.3,2.8,70.2,304.0,243.0,0.0,71.0,100g,100,每100克可食部,
莜麦面,,谷类其他,,100.0,391.0,13.7,8.6,67.7,255.0,259.0,0.0,40.0,100g,100,每100克可食部,
燕麦,,谷类其他,,100.0,338.0,10.1,0.2,77.4,356.0,342.0,0.0,58.0,100g,100,每100克可食部,
藜麦（散装）,,谷类其他,,100.0,357.0,14.0,6.0,57.8,362.0,0.0,0.0,25.0,100g,100,每100克可食部,
马铃薯,土豆;洋芋;薯仔,薯类,,94.0,81.0,2.6,0.2,17.8,347.0,46.0,0.0,7.0,100g,100,每100克可食部,
马铃薯丁（脱水）,,薯类,,100.0,344.0,5.7,0.5,80.7,267.0,87.0,0.0,39.0,100g,100,每100克可食部,
马铃薯粉,,薯类,,100.0,340.0,7.2,0.5,77.4,1075.0,123.0,0.0,171.0,100g,100,每100克可食部,
马铃薯（烤）,,薯类,,100.0,70.0,1.8,0.1,16.4,357.0,60.0,0.0,2.0,100g,100,每100克可食部,
马铃薯（蒸）,,薯类,,100.0,69.0,3.0,0.0,15.3,484.0,67.0,0.0,4.0,100g,100,每100克可食部,
马铃薯（煮）,,薯类,,100.0,65.0,3.2,0.0,14.2,480.0,64.0,0.0,4.0,100g,100,每100克可食部,
马铃薯全粉,,薯类,,100.0,362.0,8.4,0.5,82.7,980.0,170.0,0.0,35.0,100g,100,每100克可食部,
甘薯（白心）,红皮山芋,薯类,,86.0,106.0,1.4,0.2,25.2,174.0,46.0,0.0,24.0,100g,100,每100克可食部,
甘薯片,白薯干,薯类,,100.0,344.0,4.7,0.8,80.5,353.0,115.0,0.0,112.0,100g,100,每100克可食部,
甘薯粉,地瓜粉,薯类,,100.0,336.0,2.7,0.2,80.9,66.0,12.0,0.0,33.0,100g,100,每100克可食部,
甘薯（红心）,山芋;红薯,薯类,,90.0,61.0,0.7,0.2,80.9,88.0,26.0,0.0,18.0,100g,100,每100克可食部,
木薯,,薯类,,99.0,119.0,2.1,0.3,27.8,764.0,50.0,0.0,88.0,100g,100,每100克可食部,
蚕豆淀粉,,淀粉类,,100.0,342.0,0.5,0.0,85.3,10.0,29.0,0.0,36.0,100g,100,每100克可食部,
豌豆淀粉,,淀粉类,,100.0,342.0,0.6,0.0,85.0,93.0,10.0,0.0,4.0,100g,100,每100克可食部,
玉米淀粉,,淀粉类,,100.0,346.0,1.2,0.1,85.0,8.0,25.0,0.0,18.0,100g,100,每100克可食部,
团粉,芡粉,淀粉类,,100.0,348.0,1.5,0.0,85.8,16.0,25.0,0.0,34.0,100g,100,每100克可食部,
藕粉,,淀粉类,,100.0,373.0,0.2,0.0,93.0,35.0,9.0,0.0,8.0,100g,100,每100克可食部,
桂花藕粉,,淀粉类,,100.0,344.0,0.4,0.1,85.3,14.0,13.0,0.0,36.0,100g,100,每100克可食部,
魔芋精粉,鬼芋粉;南星粉,淀粉类,,100.0,186.0,4.6,0.1,78.8,299.0,272.0,0.0,45.0,100g,100,每100克可食部,
淀粉（小麦）,,淀粉类,,100.0,351.0,0.2,0.5,86.0,8.0,33.0,0.0,14.0,100g,100,每100克可食部,
淀粉（大米）,,淀粉类,,100.0,366.0,0.2,0.7,89.3,2.0,20.0,0.0,29.0,100g,100,每100克可食部,
淀粉（马铃薯）,,淀粉类,,100.0,332.0,0.1,0.1,82.0,32.0,40.0,0.0,22.0,100g,100,每100克可食部,
淀粉（甘薯）,,淀粉类,,100.0,342.0,0.1,0.2,84.4,7.0,14.0,0.0,62.0,100g,100,每100克可食部,
煎炸粉,,淀粉类,,100.0,331.0,12.1,1.4,73.6,299.0,102.0,0.0,11.0,100g,100,每100克可食部,
粉丝,,淀粉类,,100.0,338.0,0.8,0.2,83.7,18.0,16.0,0.0,31.0,100g,100,每100克可食部,
豌豆粉丝,,淀粉类,,100.0,368.0,0.4,0.0,91.7,6.0,9.0,0.0,10.0,100g,100,每100克可食部,
粉条,,淀粉类,,100.0,338.0,0.5,0.1,84.2,18.0,23.0,0.0,35.0,100g,100,每100克可食部,
黄豆,大豆,大豆,,100.0,390.0,35.0,16.0,34.2,1503.0,465.0,0.0,191.0,100g,100,每100克可食部,
黑豆（干）,黑大豆,大豆,,100.0,401.0,36.0,15.9,33.6,1377.0,500.0,0.0,224.0,100g,100,每100克可食部,
青豆（干）,青大豆,大豆,,100.0,398.0,34.5,16.0,35.4,718.0,395.0,0.0,200.0,100g,100,每100克可食部,
黄豆粉,,大豆,,100.0,432.0,32.7,18.3,37.6,1890.0,395.0,0.0,207.0,100g,100,每100克可食部,
豆腐花,豆腐粉,大豆,,100.0,401.0,10.0,2.6,84.3,339.0,95.0,0.0,175.0,100g,100,每100克可食部,
豆浆粉,,大豆,,100.0,426.0,19.7,9.4,66.8,771.0,253.0,0.0,101.0,100g,100,每100克可食部,
豆粕,,大豆,,100.0,325.0,42.5,2.1,37.9,1391.0,28.0,0.0,154.0,100g,100,每100克可食部,
豆粕（膨化）,大豆蛋白,大豆,,100.0,333.0,36.6,0.7,48.0,950.0,161.0,0.0,144.0,100g,100,每100克可食部,
豆奶粉（维维牌）,,大豆,,100.0,421.0,19.4,9.4,65.2,571.0,393.0,0.0,635.0,100g,100,每100克可食部,
豆奶粉（多力牌）,,大豆,,100.0,405.0,12.3,6.5,76.4,540.0,241.0,0.0,268.0,100g,100,每100克可食部,
豆奶粉（大磨牌）,,大豆,,100.0,432.0,27.4,13.0,51.6,720.0,486.0,0.0,281.0,100g,100,每100克可食部,
豆腐（代表值）,,大豆,,100.0,84.0,6.6,5.3,3.4,154.0,76.0,0.0,113.0,100g,100,每100克可食部,
豆腐（内酯）,,大豆,,100.0,50.0,5.0,1.9,3.3,95.0,57.0,0.0,17.0,100g,100,每100克可食部,
豆腐脑,老豆腐,大豆,,100.0,15.0,1.9,0.8,0.0,107.0,5.0,0.0,18.0,100g,100,每100克可食部,
豆腐（北豆腐）,,大豆,,100.0,116.0,9.2,8.1,3.0,106.0,112.0,0.0,105.0,100g,100,每100克可食部,
豆腐（南豆腐）,,大豆,,100.0,87.0,5.7,5.8,3.9,154.0,76.0,0.0,113.0,100g,100,每100克可食部,
豆奶,豆乳,大豆,,100.0,30.0,2.4,1.5,1.8,92.0,35.0,0.0,23.0,100g,100,每100克可食部,
豆汁（生）,,大豆,,100.0,10.0,0.9,0.1,1.4,47.0,21.0,0.0,8.0,100g,100,每100克可食部,
酸豆奶,,大豆,,100.0,67.0,2.2,1.2,11.8,70.0,22.0,0.0,32.0,100g,100,每100克可食部,
豆浆,,大豆,,100.0,31.0,3.0,1.6,1.2,117.0,42.0,0.0,5.0,100g,100,每100克可食部,
豆浆（甜）,,大豆,,100.0,34.0,2.4,0.5,4.9,54.0,21.0,0.0,27.0,100g,100,每100克可食部,
豆腐丝,,大豆,,100.0,203.0,21.5,10.5,6.2,74.0,220.0,0.0,204.0,100g,100,每100克可食部,
豆腐丝（干）,,大豆,,100.0,451.0,57.7,22.8,3.7,7.0,74.0,0.0,5.0,100g,100,每100克可食部,
豆腐丝（油）,,大豆,,100.0,304.0,24.2,17.1,14.5,208.0,423.0,0.0,152.0,100g,100,每100克可食部,
豆腐卷,,大豆,,100.0,203.0,17.9,11.6,7.2,82.0,288.0,0.0,156.0,100g,100,每100克可食部,
油豆腐,,大豆,,100.0,245.0,17.0,17.6,4.9,158.0,238.0,0.0,147.0,100g,100,每100克可食部,
腐竹,,大豆,,100.0,461.0,44.6,21.7,22.3,553.0,284.0,0.0,77.0,100g,100,每100克可食部,
枝竹,,大豆,,100.0,478.0,44.4,24.7,20.8,837.0,490.0,0.0,49.0,100g,100,每100克可食部,
千张,百页,大豆,,100.0,262.0,24.5,16.0,5.5,94.0,309.0,0.0,313.0,100g,100,每100克可食部,
豆腐干（代表值）,,大豆,,100.0,197.0,14.9,11.3,9.6,137.0,174.0,0.0,447.0,100g,100,每100克可食部,
豆腐干（菜干）,,大豆,,100.0,137.0,13.4,7.1,5.0,70.0,79.0,0.0,179.0,100g,100,每100克可食部,
豆腐干（臭干）,,大豆,,100.0,99.0,10.2,4.6,4.5,136.0,166.0,0.0,720.0,100g,100,每100克可食部,
豆腐干（酱油干）,,大豆,,100.0,157.0,14.9,9.1,4.0,130.0,188.0,0.0,413.0,100g,100,每100克可食部,
豆腐干（卤干）,,大豆,,100.0,339.0,14.5,16.7,33.4,134.0,162.0,0.0,731.0,100g,100,每100克可食部,
豆腐干（蒲包干）,,大豆,,100.0,135.0,12.1,5.7,8.9,236.0,57.0,0.0,134.0,100g,100,每100克可食部,
豆腐干（香干）,,大豆,,100.0,152.0,15.8,7.8,5.1,99.0,219.0,0.0,299.0,100g,100,每100克可食部,
豆腐干（小香干）,,大豆,,100.0,174.0,17.9,9.1,5.4,141.0,177.0,0.0,1019.0,100g,100,每100克可食部,
豆腐干（熏干）,,大豆,,100.0,154.0,15.8,6.2,8.8,136.0,109.0,0.0,173.0,100g,100,每100克可食部,
豆肝尖,,大豆,,100.0,203.0,17.2,12.0,9.4,24.0,209.0,0.0,5.0,100g,100,每100克可食部,
素大肠,,大豆,,100.0,155.0,18.1,3.6,13.0,179.0,249.0,0.0,445.0,100g,100,每100克可食部,
素火腿,,大豆,,100.0,213.0,19.1,13.2,4.8,24.0,115.0,0.0,8.0,100g,100,每100克可食部,
素鸡,,大豆,,100.0,194.0,16.5,12.5,4.2,42.0,180.0,0.0,319.0,100g,100,每100克可食部,
素鸡丝卷,,大豆,,100.0,197.0,11.2,13.7,10.1,56.0,261.0,0.0,103.0,100g,100,每100克可食部,
素什锦,,大豆,,100.0,177.0,14.0,10.2,8.3,143.0,186.0,0.0,174.0,100g,100,每100克可食部,
炸素虾,,大豆,,100.0,582.0,27.6,44.4,19.3,211.0,245.0,0.0,251.0,100g,100,每100克可食部,
烤麸,,大豆,,100.0,121.0,20.4,0.3,9.3,25.0,72.0,0.0,30.0,100g,100,每100克可食部,
豆腐皮,,大豆,,100.0,447.0,51.6,23.0,12.5,877.0,494.0,0.0,239.0,100g,100,每100克可食部,
豆腐干,,大豆,,100.0,427.0,19.6,35.2,11.4,153.0,408.0,0.0,352.0,100g,100,每100克可食部,
绿豆（干）,,绿豆,,100.0,329.0,21.6,0.8,62.0,787.0,337.0,0.0,81.0,100g,100,每100克可食部,
绿豆面,,绿豆,,100.0,341.0,20.8,0.7,65.8,1055.0,304.0,0.0,134.0,100g,100,每100克可食部,
绿豆饼,,绿豆,,100.0,122.0,15.2,1.2,12.7,16.0,25.0,0.0,18.0,100g,100,每100克可食部,
赤小豆（干）,小豆;红小豆,赤豆,,100.0,324.0,20.2,0.6,63.4,860.0,305.0,0.0,74.0,100g,100,每100克可食部,
小豆粥,,赤豆,,100.0,62.0,1.2,0.4,13.7,45.0,14.0,0.0,13.0,100g,100,每100克可食部,
豆沙,,赤豆,,100.0,247.0,5.5,1.9,52.7,139.0,68.0,0.0,42.0,100g,100,每100克可食部,
红豆沙（去皮）,,赤豆,,100.0,244.0,4.5,0.1,57.1,21.0,65.0,0.0,19.0,100g,100,每100克可食部,
红豆馅,,赤豆,,100.0,261.0,4.5,0.2,61.7,59.0,90.0,0.0,16.0,100g,100,每100克可食部,
"花豆（干,红）",,芸豆,,100.0,328.0,19.1,1.3,62.7,358.0,48.0,0.0,38.0,100g,100,每100克可食部,
"花豆（干,紫）",,芸豆,,97.0,330.0,17.2,1.4,65.8,641.0,169.0,0.0,221.0,100g,100,每100克可食部,
"芸豆（干,白）",,芸豆,,100.0,315.0,23.4,1.4,57.2,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
